tên hồ,Qve,Tqx,Qxt,Qxm
Sê San 4,524.0,230.0,0.0,230.0
Kanak,11.9,28.0,0.0,28.0
An Khê,34.12,48.5,4.0,44.5
Srêpốk 3,330.0,399.69,0.69,399.0
Buôn Kuốp,170.0,298.0,0.0,298.0
Buôn Tua Srah,29.0,85.0,0.0,85.0
Đồng Nai 3,8.59,88.65,0.0,88.65
Đồng Nai 4,98.48,87.03,2.5,84.53
Đơn Dương,18.89,31.68,0.0,31.68
Đại Ninh,11.0,55.7,0.7,55.0
Hàm Thuận,8.25,68.59,2.9,65.69
Đa Mi,67.39,31.83,0.0,31.83
Pleikrông,99.0,99.0,0.0,99.0
Ialy,245.0,396.0,0.0,396.0
Sê San 3,408.0,450.0,0.0,450.0
Sê San 3A,471.0,547.0,0.0,547.0
Sê San 4,671.0,230.0,0.0,230.0
Kanak,10.6,28.0,0.0,28.0
An Khê,7.83,25.0,4.0,21.0
Srêpốk 3,355.0,203.68,0.68,203.0
Buôn Kuốp,147.0,300.0,0.0,300.0
Buôn Tua Srah,32.0,85.0,0.0,85.0
Đồng Nai 3,88.65,88.65,0.0,88.65
Đồng Nai 4,91.57,57.2,2.5,54.7
Đơn Dương,18.83,31.62,0.0,31.62
Đại Ninh,13.0,55.7,0.7,55.0
Hàm Thuận,15.03,8.33,2.9,5.43
Đa Mi,6.57,4.9,0.0,4.9
Pleikrông,76.0,99.0,0.0,99.0
Ialy,189.0,264.0,0.0,264.0
Sê San 3,273.0,263.0,0.0,263.0
Sê San 3A,245.0,220.0,0.0,220.0
Sê San 4,230.0,230.0,0.0,230.0
Kanak,9.15,28.0,0.0,28.0
An Khê,33.42,46.0,4.0,42.0
Srêpốk 3,181.0,393.67,0.67,393.0
Buôn Kuốp,154.0,302.0,0.0,302.0
Buôn Tua Srah,18.0,135.0,0.0,135.0
Đồng Nai 3,1.31,88.65,0.0,88.65
Đồng Nai 4,95.82,95.82,2.5,93.32
Đơn Dương,18.66,10.52,0.0,10.52
Đại Ninh,16.0,45.7,0.7,45.0
Hàm Thuận,16.21,9.51,2.9,6.61
Đa Mi,7.82,6.15,0.0,6.15
Pleikrông,134.0,99.0,0.0,99.0
Ialy,242.0,167.0,0.0,167.0
Sê San 3,180.0,243.0,0.0,243.0
Sê San 3A,292.0,281.0,0.0,281.0
Sê San 4,387.0,240.0,0.0,240.0
Kanak,10.2,20.52,0.0,20.52
An Khê,34.69,46.0,4.0,42.0
Srêpốk 3,276.0,202.69,0.69,202.0
Buôn Kuốp,147.0,300.0,0.0,300.0
Buôn Tua Srah,26.0,146.0,0.0,146.0
Đồng Nai 3,86.6,86.6,0.0,86.6
Đồng Nai 4,98.25,86.79,2.5,84.29
Đơn Dương,23.03,20.13,0.0,20.13
Đại Ninh,10.0,35.7,0.7,35.0
Hàm Thuận,19.8,13.1,2.9,10.2
Đa Mi,10.66,10.66,0.0,10.66
Pleikrông,122.0,87.0,0.0,87.0
Ialy,228.0,303.0,0.0,303.0
Sê San 3,314.0,243.0,0.0,243.0
Sê San 3A,243.0,243.0,0.0,243.0
Sê San 4,240.0,240.0,0.0,240.0
Kanak,12.9,14.0,0.0,14.0
An Khê,37.39,46.0,4.0,42.0
Srêpốk 3,235.0,202.73,0.73,202.0
Buôn Kuốp,147.0,300.0,0.0,300.0
Buôn Tua Srah,34.0,147.0,0.0,147.0
Đồng Nai 3,45.13,88.8,0.0,88.8
Đồng Nai 4,109.4,75.02,2.5,72.52
Đơn Dương,23.36,15.22,0.0,15.22
Đại Ninh,15.0,53.7,0.7,53.0
Hàm Thuận,14.14,14.14,2.9,11.24
Đa Mi,11.68,21.32,0.0,21.32
Pleikrông,115.0,79.0,0.0,79.0
Ialy,177.0,253.0,0.0,253.0
Sê San 3,263.0,243.0,0.0,243.0
Sê San 3A,245.0,269.0,0.0,269.0
Sê San 4,387.0,240.0,0.0,240.0
Kanak,11.4,28.0,0.0,28.0
An Khê,7.64,46.0,4.0,42.0
Srêpốk 3,228.0,204.74,0.74,204.0
Buôn Kuốp,153.0,153.0,0.0,153.0
Buôn Tua Srah,32.0,135.0,0.0,135.0
Đồng Nai 3,63.11,34.0,0.0,34.0
Đồng Nai 4,25.41,2.5,2.5,0.0
Đơn Dương,19.05,23.99,0.0,23.99
Đại Ninh,11.0,54.7,0.7,54.0
Hàm Thuận,10.93,24.34,2.9,21.44
Đa Mi,24.41,8.3,0.0,8.3
Pleikrông,93.0,95.0,0.0,95.0
Ialy,246.0,246.0,0.0,246.0
Sê San 3,260.0,275.0,0.0,275.0
Sê San 3A,257.0,257.0,0.0,257.0
Sê San 4,240.0,240.0,0.0,240.0
Kanak,8.25,28.0,0.0,28.0
An Khê,37.39,46.0,4.0,42.0
Srêpốk 3,291.0,206.74,0.74,206.0
Buôn Kuốp,141.0,302.0,0.0,302.0
Buôn Tua Srah,30.0,134.0,0.0,134.0
Đồng Nai 3,73.76,59.2,0.0,59.2
Đồng Nai 4,120.34,63.04,2.5,60.54
Đơn Dương,21.29,28.85,0.0,28.85
Đại Ninh,11.0,55.7,0.7,55.0
Hàm Thuận,19.37,73.01,2.9,70.11
Đa Mi,71.11,0.0,0.0,0.0
Pleikrông,96.0,96.0,0.0,96.0
Ialy,208.0,303.0,0.0,303.0
Sê San 3,313.0,238.0,0.0,238.0
Sê San 3A,246.0,246.0,0.0,246.0
Sê San 4,387.0,240.0,0.0,240.0
Kanak,10.2,28.0,0.0,28.0
An Khê,37.39,46.0,4.0,42.0
Srêpốk 3,272.0,206.75,0.75,206.0
Buôn Kuốp,128.0,302.0,0.0,302.0
Buôn Tua Srah,31.0,172.0,0.0,172.0
Đồng Nai 3,14.56,0.0,0.0,0.0
Đồng Nai 4,12.44,58.28,2.5,55.78
Đơn Dương,21.5,31.68,0.0,31.68
Đại Ninh,13.0,55.7,0.7,55.0
Hàm Thuận,19.74,93.49000000000001,2.9,90.59
Đa Mi,91.38,21.94,0.0,21.94
Pleikrông,180.0,78.0,0.0,78.0
Ialy,127.0,300.0,0.0,300.0
Sê San 3,310.0,232.0,0.0,232.0
Sê San 3A,244.0,244.0,0.0,244.0
Sê San 4,240.0,240.0,0.0,240.0
Kanak,8.25,0.0,0.0,0.0
An Khê,4.03,4.0,4.0,0.0
Srêpốk 3,406.0,206.75,0.75,206.0
Buôn Kuốp,114.0,302.0,0.0,302.0
Buôn Tua Srah,19.0,86.0,0.0,86.0
Đồng Nai 3,46.91,177.92,0.0,177.92
Đồng Nai 4,183.68,36.52,2.5,34.02
Đơn Dương,15.97,31.38,0.0,31.38
Đại Ninh,6.0,54.7,0.7,54.0
Hàm Thuận,9.6,2.9,2.9,0.0
Đa Mi,1.67,0.0,0.0,0.0
Pleikrông,60.0,95.0,0.0,95.0
Ialy,143.0,292.0,0.0,292.0
Sê San 3,287.0,206.0,0.0,206.0
Sê San 3A,228.0,282.0,0.0,282.0
Sê San 4,387.0,240.0,0.0,240.0
Kanak,12.9,0.0,0.0,0.0
An Khê,4.08,4.0,4.0,0.0
Srêpốk 3,472.0,318.75,0.75,318.0
Buôn Kuốp,116.0,295.0,0.0,295.0
Buôn Tua Srah,12.0,86.0,0.0,86.0
Đồng Nai 3,45.37,89.04,0.0,89.04
Đồng Nai 4,94.0,2.5,2.5,0.0
Đơn Dương,18.05,28.23,0.0,28.23
Đại Ninh,7.0,54.7,0.7,54.0
Hàm Thuận,19.78,93.53,2.9,90.63
Đa Mi,91.94,0.0,0.0,0.0
Pleikrông,48.0,83.0,0.0,83.0
Ialy,119.0,264.0,0.0,264.0
Sê San 3,268.0,0.0,0.0,0.0
Sê San 3A,0.0,241.0,0.0,241.0
Sê San 4,240.0,240.0,0.0,240.0
Kanak,9.54,28.0,0.0,28.0
An Khê,7.61,4.0,4.0,0.0
Srêpốk 3,185.0,184.75,0.75,184.0
Buôn Kuốp,144.0,238.0,0.0,238.0
Buôn Tua Srah,28.0,86.0,0.0,86.0
Đồng Nai 3,45.37,89.04,0.0,89.04
Đồng Nai 4,95.2,141.0,2.5,138.5
Đơn Dương,20.66,28.22,0.0,28.22
Đại Ninh,3.0,55.7,0.7,55.0
Hàm Thuận,13.52,93.97,2.9,91.07
Đa Mi,91.94,0.0,0.0,0.0
Pleikrông,56.0,91.0,0.0,91.0
Ialy,192.0,266.0,0.0,266.0
Sê San 3,274.0,395.0,0.0,395.0
Sê San 3A,400.0,281.0,0.0,281.0
Sê San 4,240.0,240.0,0.0,240.0
Kanak,9.14,28.0,0.0,28.0
An Khê,8.53,4.0,4.0,0.0
Srêpốk 3,199.0,355.75,0.75,355.0
Buôn Kuốp,108.0,296.0,0.0,296.0
Buôn Tua Srah,40.0,86.0,0.0,86.0
Đồng Nai 3,74.56,89.12,0.0,89.12
Đồng Nai 4,87.15,155.9,2.5,153.4
Đơn Dương,15.39,28.18,0.0,28.18
Đại Ninh,11.0,55.7,0.7,55.0
Hàm Thuận,19.33,93.11,2.9,90.21
Đa Mi,90.56,0.0,0.0,0.0
Pleikrông,99.0,99.0,0.0,99.0
Ialy,161.0,181.0,0.0,181.0
Sê San 3,190.0,85.0,0.0,85.0
Sê San 3A,66.0,231.0,0.0,231.0
Sê San 4,240.0,240.0,0.0,240.0
Kanak,7.75,28.0,0.0,28.0
An Khê,25.56,46.0,4.0,42.0
Srêpốk 3,330.0,356.75,0.75,356.0
Buôn Kuốp,110.0,302.0,0.0,302.0
Buôn Tua Srah,45.0,86.0,0.0,86.0
Đồng Nai 3,60.0,89.12,0.0,89.12
Đồng Nai 4,94.2,2.5,2.5,0.0
Đơn Dương,17.73,27.91,0.0,27.91
Đại Ninh,8.0,55.7,0.7,55.0
Hàm Thuận,13.54,93.99000000000001,2.9,91.09
Đa Mi,91.09,22.96,0.0,22.96
Pleikrông,80.0,65.0,0.0,65.0
Ialy,136.0,244.0,0.0,244.0
Sê San 3,251.0,243.0,0.0,243.0
Sê San 3A,243.0,282.0,0.0,282.0
Sê San 4,441.0,0.0,0.0,0.0
Kanak,7.33,28.0,0.0,28.0
An Khê,34.54,46.0,4.0,42.0
Srêpốk 3,258.0,206.74,0.74,206.0
Buôn Kuốp,136.0,187.0,0.0,187.0
Buôn Tua Srah,45.0,85.0,0.0,85.0
Đồng Nai 3,89.12,89.12,0.0,89.12
Đồng Nai 4,87.26,77.84,2.5,75.34
Đơn Dương,15.09,27.88,0.0,27.88
Đại Ninh,12.0,55.7,0.7,55.0
Hàm Thuận,23.71,57.23,2.9,54.33
Đa Mi,54.33,6.0,0.0,6.0
Pleikrông,99.0,99.0,0.0,99.0
Ialy,142.0,269.0,0.0,269.0
Sê San 3,276.0,243.0,0.0,243.0
Sê San 3A,243.0,243.0,0.0,243.0
Sê San 4,240.0,240.0,0.0,240.0
Kanak,7.75,28.0,0.0,28.0
An Khê,34.3,46.0,4.0,42.0
Srêpốk 3,158.0,181.74,0.74,181.0
Buôn Kuốp,128.0,141.0,0.0,141.0
Buôn Tua Srah,45.0,86.0,0.0,86.0
Đồng Nai 3,16.42,89.2,0.0,89.2
Đồng Nai 4,87.32,75.86,2.5,73.36
Đơn Dương,22.6,27.54,0.0,27.54
Đại Ninh,13.0,55.7,0.7,55.0
Hàm Thuận,23.59,16.89,2.9,13.99
Đa Mi,15.13,32.91,0.0,32.91
Pleikrông,169.0,99.0,0.0,99.0
Ialy,137.0,181.0,0.0,181.0
Sê San 3,191.0,406.0,0.0,406.0
Sê San 3A,487.0,473.0,0.0,473.0
Sê San 4,534.0,240.0,0.0,240.0
Kanak,7.98,28.0,0.0,28.0
An Khê,12.61,4.0,4.0,0.0
Srêpốk 3,359.0,187.74,0.74,187.0
Buôn Kuốp,113.0,193.0,0.0,193.0
Buôn Tua Srah,24.0,87.0,0.0,87.0
Đồng Nai 3,89.2,89.2,0.0,89.2
Đồng Nai 4,88.99,77.53,2.5,75.03
Đơn Dương,17.66,27.43,0.0,27.43
Đại Ninh,15.0,55.7,0.7,55.0
Hàm Thuận,9.6,2.9,2.9,0.0
Đa Mi,3.17,48.45,0.0,48.45
Pleikrông,170.0,198.0,0.0,198.0
Ialy,207.0,281.0,0.0,281.0
Sê San 3,294.0,395.0,0.0,395.0
Sê San 3A,208.0,239.0,0.0,239.0
Sê San 4,240.0,240.0,0.0,240.0
