tên hồ,Qve,Tqx,Qxt,Qxm
Vĩnh Sơn B,5.1,0.0,0.0,0.0
Vĩnh Sơn C,3.9,0.0,0.0,0.0
Sông Tranh 2,123.8,180.6,5.7,174.9
Sông Ba Hạ,57.0,120.0,0.0,120.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,31.2,31.2,0.0,31.2
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,4.71,13.6,0.4,13.2
Sông Bung 4,74.56,118.0,0.0,118.0
Vĩnh Sơn B,1.1,0.0,0.0,0.0
Vĩnh Sơn C,3.9,0.0,0.0,0.0
Sông Tranh 2,73.47,130.28,5.7,124.58
Sông Ba Hạ,110.0,274.0,0.0,274.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,28.6,53.0,0.0,53.0
Sông Bung 2,7.47,0.0,0.0,0.0
Vĩnh Sơn A,9.37,13.37,0.17,13.2
Sông Bung 4,67.11,154.0,0.0,154.0
Vĩnh Sơn B,2.5,0.0,0.0,0.0
Vĩnh Sơn C,1.5,0.0,0.0,0.0
Sông Tranh 2,89.95,203.7,5.7,198.0
Sông Ba Hạ,115.0,352.0,0.0,352.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,40.2,40.2,0.0,40.2
Sông Bung 2,6.81,14.28,0.0,14.28
Vĩnh Sơn A,7.45,13.2,0.0,13.2
Sông Bung 4,112.0,112.0,0.0,112.0
Vĩnh Sơn B,1.0,0.0,0.0,0.0
Vĩnh Sơn C,1.0,0.0,0.0,0.0
Sông Tranh 2,118.42,203.7,5.7,198.0
Sông Ba Hạ,60.0,0.0,0.0,0.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,62.4,38.0,0.0,38.0
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,5.45,13.2,0.0,13.2
Sông Bung 4,100.0,100.0,0.0,100.0
Vĩnh Sơn B,2.5,0.0,0.0,0.0
Vĩnh Sơn C,1.5,0.0,0.0,0.0
Sông Tranh 2,127.06,183.85999999999999,5.7,178.16
Sông Ba Hạ,25.0,0.0,0.0,0.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,26.1,26.1,0.0,26.1
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,5.45,13.2,0.0,13.2
Sông Bung 4,56.56,100.0,0.0,100.0
Vĩnh Sơn B,2.5,0.0,0.0,0.0
Vĩnh Sơn C,1.5,0.0,0.0,0.0
Sông Tranh 2,120.38,120.38000000000001,5.7,114.68
Sông Ba Hạ,33.0,0.0,0.0,0.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,42.9,18.5,0.0,18.5
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,6.45,13.2,0.0,13.2
Sông Bung 4,56.56,100.0,0.0,100.0
Vĩnh Sơn B,20.21,18.71,18.71,0.0
Vĩnh Sơn C,1.5,0.0,0.0,0.0
Sông Tranh 2,132.76,132.75,5.7,127.05
Sông Ba Hạ,54.0,0.0,0.0,0.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,7.4,31.8,0.0,31.8
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,5.45,13.2,0.0,13.2
Sông Bung 4,73.11,160.0,0.0,160.0
Vĩnh Sơn B,2.0,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,85.85,142.64999999999998,5.7,136.95
Sông Ba Hạ,65.0,0.0,0.0,0.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,37.5,37.5,0.0,37.5
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,5.45,13.2,0.0,13.2
Sông Bung 4,25.67,156.0,0.0,156.0
Vĩnh Sơn B,2.0,0.0,0.0,0.0
Vĩnh Sơn C,2.0,0.0,0.0,0.0
Sông Tranh 2,89.95,203.7,5.7,198.0
Sông Ba Hạ,100.0,290.0,0.0,290.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,40.7,40.7,0.0,40.7
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,5.45,13.2,0.0,13.2
Sông Bung 4,25.67,156.0,0.0,156.0
Vĩnh Sơn B,2.0,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,76.06,189.67999999999998,5.7,183.98
Sông Ba Hạ,98.0,0.0,0.0,0.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,24.7,73.5,0.0,73.5
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,5.45,13.2,0.0,13.2
Sông Bung 4,78.0,78.0,0.0,78.0
Vĩnh Sơn B,2.0,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,61.61,203.7,5.7,198.0
Sông Ba Hạ,38.0,0.0,0.0,0.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,34.7,10.3,0.0,10.3
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,5.45,13.2,0.0,13.2
