tên hồ,Qve,Tqx,Qxt,Qxm
Sơn La,852.0,574.0,0,574.0
Hòa Bình,1477.0,2324.0,0,2324.0
Thác Bà,117.17051509769094,444.79,0,444.79
Bản Chát,11.2,0.0,0,0.0
Huội Quảng,28.1,0.0,0,0.0
Sơn La,798.0,465.0,0,465.0
Hòa Bình,1043.0,2139.0,0,2139.0
Thác Bà,117.17051509769094,447.27,0,447.27
Bản Chát,27.5,0.0,0,0.0
Huội Quảng,16.7,0.0,0,0.0
Sơn La,164.0,608.0,0,608.0
Hòa Bình,337.0,2273.0,0,2273.0
Thác Bà,117.17051509769094,449.48,0,449.48
Bản Chát,27.5,0.0,0,0.0
Huội Quảng,27.8,0.0,0,0.0
Sơn La,548.0,881.0,0,881.0
Hòa Bình,592.0,2358.0,0,2358.0
Thác Bà,117.17051509769094,451.82,0,451.82
Bản Chát,23.0,77.0,0,77.0
Huội Quảng,85.0,0.0,0,0.0
Sơn La,1448.0,1031.0,0,1031.0
Hòa Bình,1091.0,391.0,0,391.0
Thác Bà,117.17051509769094,450.38,0,450.38
Bản Chát,19.4,0.0,0,0.0
Huội Quảng,28.1,0.0,0,0.0
Sơn La,634.0,1190.0,0,1190.0
Hòa Bình,1139.0,269.0,0,269.0
Thác Bà,117.17051509769094,142.33,0,142.33
Bản Chát,11.2,0.0,0,0.0
Huội Quảng,70.4,65.1,0,65.1
Sơn La,115.0,948.0,0,948.0
Hòa Bình,1150.0,960.0,0,960.0
Thác Bà,117.17051509769094,142.56,0,142.56
Bản Chát,22.7,3.3,0,3.3
Huội Quảng,16.6,0.0,0,0.0
Sơn La,167.0,0.0,0,0.0
Hòa Bình,488.0,1148.0,0,1148.0
Thác Bà,117.17051509769094,139.58,0,139.58
Bản Chát,15.7,126.8,0,126.8
Huội Quảng,120.7,239.2,0,239.2
Sơn La,333.0,0.0,0,0.0
Hòa Bình,140.0,968.0,0,968.0
Thác Bà,117.17051509769094,139.49,0,139.49
Bản Chát,11.2,0.0,0,0.0
Huội Quảng,5.3,0.0,0,0.0
Sơn La,836.0,892.0,0,892.0
Hòa Bình,928.0,313.0,0,313.0
Thác Bà,117.17051509769094,143.25,0,143.25
Bản Chát,198.7,0.0,0,0.0
Huội Quảng,16.7,0.0,0,0.0
Sơn La,1083.0,0.0,0,0.0
Hòa Bình,319.0,979.0,0,979.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,100.9,0.0,0,0.0
Huội Quảng,27.8,0.0,0,0.0
Sơn La,556.0,0.0,0,0.0
Hòa Bình,65.0,640.0,0,640.0
Thác Bà,117.17051509769094,139.67,0,139.67
Bản Chát,43.9,0.0,0,0.0
Huội Quảng,16.6,0.0,0,0.0
Sơn La,712.0,379.0,0,379.0
Hòa Bình,309.0,1139.0,0,1139.0
Thác Bà,117.17051509769094,139.81,0,139.81
Bản Chát,27.6,0.0,0,0.0
Huội Quảng,16.6,0.0,0,0.0
Sơn La,117.0,1311.0,0,1311.0
Hòa Bình,1098.0,1752.0,0,1752.0
Thác Bà,117.17051509769094,453.39,0,453.39
Bản Chát,19.4,0.0,0,0.0
Huội Quảng,16.6,0.0,0,0.0
Sơn La,564.0,565.0,0,565.0
Hòa Bình,653.0,633.0,0,633.0
Thác Bà,117.17051509769094,143.67,0,143.67
Bản Chát,19.4,0.0,0,0.0
Huội Quảng,16.6,0.0,0,0.0
Sơn La,106.0,1023.0,0,1023.0
Hòa Bình,812.0,456.0,0,456.0
Thác Bà,117.17051509769094,143.67,0,143.67
Bản Chát,10.0,21.9,0,21.9
Huội Quảng,59.8,43.2,0,43.2
Sơn La,556.0,0.0,0,0.0
Hòa Bình,496.0,729.0,0,729.0
Thác Bà,117.17051509769094,143.94,0,143.94
Bản Chát,10.0,144.5,0,144.5
Huội Quảng,192.6,187.3,0,187.3
Sơn La,250.0,0.0,0,0.0
Hòa Bình,461.0,778.0,0,778.0
Thác Bà,117.17051509769094,144.36,0,144.36
Bản Chát,24.4,241.3,0,241.3
Huội Quảng,227.3,177.0,0,177.0
Sơn La,1254.0,504.0,0,504.0
Hòa Bình,589.0,1158.0,0,1158.0
Thác Bà,117.17051509769094,145.23,0,145.23
Bản Chát,16.9,241.9,0,241.9
Huội Quảng,247.9,332.7,0,332.7
Sơn La,1857.0,1301.0,0,1301.0
Hòa Bình,1136.0,1032.0,0,1032.0
Thác Bà,117.17051509769094,143.48,0,143.48
Bản Chát,19.3,187.4,0,187.4
Huội Quảng,222.8,93.7,0,93.7
Sơn La,1713.0,685.0,0,685.0
Hòa Bình,1028.0,840.0,0,840.0
Thác Bà,117.17051509769094,456.22,0,456.22
Bản Chát,14.4,243.3,0,243.3
Huội Quảng,256.3,374.8,0,374.8
Sơn La,1663.0,1302.0,0,1302.0
Hòa Bình,801.0,1286.0,0,1286.0
Thác Bà,117.17051509769094,458.33,0,458.33
Bản Chát,28.1,233.0,0,233.0
Huội Quảng,233.2,204.3,0,204.3
Sơn La,456.0,678.0,0,678.0
Hòa Bình,872.0,1947.0,0,1947.0
Thác Bà,117.17051509769094,458.89,0,458.89
Bản Chát,19.0,0.0,0,0.0
Huội Quảng,56.6,28.8,0,28.8
Sơn La,1577.0,299.0,0,299.0
Hòa Bình,604.0,1918.0,0,1918.0
Thác Bà,117.17051509769094,458.97,0,458.97
Bản Chát,24.1,245.1,0,245.1
Huội Quảng,219.3,259.0,0,259.0
Sơn La,1464.0,881.0,0,881.0
Hòa Bình,592.0,1239.0,0,1239.0
Thác Bà,117.17051509769094,449.64,0,449.64
Bản Chát,31.4,201.1,0,201.1
Huội Quảng,259.6,186.7,0,186.7
Sơn La,1291.0,1069.0,0,1069.0
Hòa Bình,959.0,772.0,0,772.0
Thác Bà,117.17051509769094,453.34,0,453.34
Bản Chát,25.8,246.6,0,246.6
Huội Quảng,256.5,330.0,0,330.0
Sơn La,1212.0,1351.0,0,1351.0
Hòa Bình,826.0,1057.0,0,1057.0
Thác Bà,117.17051509769094,456.27,0,456.27
Bản Chát,30.6,247.4,0,247.4
Huội Quảng,365.5,372.8,0,372.8
Sơn La,457.0,1001.0,0,1001.0
Hòa Bình,526.0,1173.0,0,1173.0
Thác Bà,117.17051509769094,451.07,0,451.07
Bản Chát,23.5,248.2,0,248.2
Huội Quảng,265.3,372.6,0,372.6
Sơn La,1299.0,1382.0,0,1382.0
Hòa Bình,1304.0,701.0,0,701.0
Thác Bà,117.17051509769094,450.8,0,450.8
Bản Chát,10.6,0.0,0,0.0
Huội Quảng,5.3,0.0,0,0.0
Sơn La,496.0,857.0,0,857.0
Hòa Bình,786.0,766.0,0,766.0
Thác Bà,117.17051509769094,144.52,0,144.52
Bản Chát,23.0,51.0,0,51.0
Huội Quảng,106.6,0.0,0,0.0
Sơn La,1145.0,867.0,0,867.0
Hòa Bình,601.0,497.0,0,497.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,21.6,249.8,0,249.8
Huội Quảng,237.3,277.0,0,277.0
Sơn La,1584.0,806.0,0,806.0
Hòa Bình,663.0,748.0,0,748.0
Thác Bà,117.17051509769094,133.35,0,133.35
Bản Chát,7.6,205.0,0,205.0
Huội Quảng,241.1,326.1,0,326.1
Sơn La,1168.0,557.0,0,557.0
Hòa Bình,926.0,822.0,0,822.0
Thác Bà,117.17051509769094,284.76,0,284.76
Bản Chát,12.2,251.1,0,251.1
Huội Quảng,263.2,347.9,0,347.9
Sơn La,865.0,948.0,0,948.0
Hòa Bình,677.0,994.0,0,994.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,15.2,125.8,0,125.8
Huội Quảng,192.2,141.9,0,141.9
Sơn La,723.0,140.0,0,140.0
Hòa Bình,828.0,976.0,0,976.0
Thác Bà,117.17051509769094,142.03,0,142.03
Bản Chát,15.8,96.2,0,96.2
Huội Quảng,153.9,92.3,0,92.3
Sơn La,1113.0,557.0,0,557.0
Hòa Bình,648.0,881.0,0,881.0
Thác Bà,117.17051509769094,298.43,0,298.43
Bản Chát,17.3,173.2,0,173.2
Huội Quảng,165.3,227.6,0,227.6
Sơn La,754.0,1060.0,0,1060.0
Hòa Bình,616.0,1101.0,0,1101.0
Thác Bà,117.17051509769094,145.65,0,145.65
Bản Chát,15.9,20.7,0,20.7
Huội Quảng,49.7,78.1,0,78.1
Sơn La,318.0,957.0,0,957.0
Hòa Bình,725.0,1042.0,0,1042.0
Thác Bà,117.17051509769094,299.99,0,299.99
Bản Chát,14.1,253.1,0,253.1
Huội Quảng,255.5,284.0,0,284.0
Sơn La,1169.0,808.0,0,808.0
Hòa Bình,598.0,578.0,0,578.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,12.3,253.9,0,253.9
Huội Quảng,266.5,283.8,0,283.8
Sơn La,1094.0,566.0,0,566.0
Hòa Bình,540.0,1362.0,0,1362.0
Thác Bà,117.17051509769094,302.83,0,302.83
Bản Chát,8.7,242.9,0,242.9
Huội Quảng,247.1,275.6,0,275.6
