tên hồ,Thời điểm,htl,dbt,hc,Qve,Tqx,Qxt,Qxm,Ncxs,Ncxm
Sông Tranh 2,10/01 23:00,174.73,175.0,140.0,146.9,203.7,5.7,198.0,0,0
Sông Ba Hạ,10/01 23:00,104.67,105.0,101.0,120.0,0.0,0.0,0.0,0,0
Sông Hinh,10/01 23:00,209.0,209.0,196.0,154.83,154.83,100.0,54.83,0,0
A Vương,11/01 23:00,379.25,380.0,340.0,36.7,61.1,0.0,61.1,0,0
Sông Bung 2,11/01 23:00,604.14,605.0,565.0,13.61,28.56,0.0,28.56,0,0
Vĩnh Sơn A,11/01 23:00,775.05,775.0,765.0,4.37,13.37,0.17,13.2,0,0
Sông Bung 4,11/01 23:00,222.41,222.5,205.0,63.11,150.0,0.0,150.0,0,0
Vĩnh Sơn B,11/01 23:00,826.04,826.0,813.6,5.88,0.78,0.78,,0,0
Vĩnh Sơn C,11/01 23:00,981.0,981.0,971.3,3.9,0.0,0.0,,0,0
Sông Tranh 2,11/01 23:00,174.73,175.0,140.0,118.43,203.7,5.7,198.0,0,0
Sông Ba Hạ,11/01 23:00,104.69,105.0,101.0,120.0,0.0,0.0,0.0,0,0
Sông Hinh,11/01 23:00,209.0,209.0,196.0,104.83,104.83,50.0,54.83,0,0
A Vương,12/01 23:00,379.34,380.0,340.0,65.6,65.6,0.0,65.6,0,0
Sông Bung 2,12/01 23:00,604.12,605.0,565.0,13.61,28.56,0.0,28.56,0,0
Vĩnh Sơn A,12/01 23:00,775.06,775.0,765.0,4.4,13.4,0.2,13.2,0,0
Sông Bung 4,12/01 23:00,222.3,222.5,205.0,106.56,150.0,0.0,150.0,0,0
Vĩnh Sơn B,12/01 23:00,826.0,826.0,813.6,0.0,0.0,0.0,,0,0
Vĩnh Sơn C,12/01 23:00,981.0,981.0,971.3,3.9,0.0,0.0,,0,0
Sông Tranh 2,12/01 23:00,174.73,175.0,140.0,146.9,203.7,5.7,198.0,0,0
Sông Ba Hạ,12/01 23:00,104.7,105.0,101.0,76.0,120.0,0.0,120.0,0,0
Sông Hinh,12/01 23:00,209.0,209.0,196.0,104.83,104.83,50.0,54.83,0,0
A Vương,13/01 23:00,379.4,380.0,340.0,45.5,45.5,0.0,45.5,0,0
Sông Bung 2,13/01 23:00,604.11,605.0,565.0,13.61,28.56,0.0,28.56,0,0
Vĩnh Sơn A,13/01 23:00,775.06,775.0,765.0,4.4,13.4,0.2,13.2,0,0
Sông Bung 4,13/01 23:00,222.33,222.5,205.0,76.56,120.0,0.0,120.0,0,0
Vĩnh Sơn B,13/01 23:00,826.0,826.0,813.6,5.1,0.0,0.0,,0,0
Vĩnh Sơn C,13/01 23:00,981.0,981.0,971.3,3.9,0.0,0.0,,0,0
Sông Tranh 2,13/01 23:00,174.69,175.0,140.0,90.09,203.7,5.7,198.0,0,0
Sông Ba Hạ,13/01 21:00,104.71,105.0,101.0,59.0,294.0,0.0,294.0,0,0
Sông Hinh,13/01 23:00,209.0,209.0,196.0,104.83,104.83,50.0,54.83,0,0
A Vương,14/01 23:00,379.46,380.0,340.0,17.0,17.0,0.0,17.0,0,0
Sông Bung 2,14/01 23:00,604.13,605.0,565.0,13.61,28.56,0.0,28.56,0,0
Vĩnh Sơn A,14/01 23:00,775.05,775.0,765.0,4.37,13.37,0.17,13.2,0,0
Sông Bung 4,14/01 23:00,222.41,222.5,205.0,72.56,116.0,0.0,116.0,0,0
Vĩnh Sơn B,14/01 23:00,826.0,826.0,813.6,5.1,0.0,0.0,,0,0
Vĩnh Sơn C,14/01 23:00,981.0,981.0,971.3,3.9,0.0,0.0,,0,0
Sông Tranh 2,14/01 23:00,174.66,175.0,140.0,123.8,180.6,5.7,174.9,0,0
Sông Ba Hạ,14/01 23:00,104.69,105.0,101.0,57.0,120.0,0.0,120.0,0,0
Sông Hinh,14/01 23:00,209.0,209.0,196.0,104.83,104.83,50.0,54.83,0,0
A Vương,15/01 23:00,379.5,380.0,340.0,31.2,31.2,0.0,31.2,0,0
Sông Bung 2,15/01 23:00,604.11,605.0,565.0,13.61,28.56,0.0,28.56,0,0
Vĩnh Sơn A,15/01 23:00,775.12,775.0,765.0,4.71,13.6,0.4,13.2,0,0
Sông Bung 4,15/01 23:00,222.41,222.5,205.0,74.56,118.0,0.0,118.0,0,0
Vĩnh Sơn B,15/01 23:00,826.0,826.0,813.6,1.1,0.0,0.0,,0,0
Vĩnh Sơn C,15/01 23:00,981.0,981.0,971.3,3.9,0.0,0.0,,0,0
Sông Tranh 2,15/01 23:00,174.62,175.0,140.0,73.47,130.28,5.7,124.58,0,0
Sông Ba Hạ,15/01 23:00,104.66,105.0,101.0,110.0,274.0,0.0,274.0,0,0
Sông Hinh,15/01 23:00,209.0,209.0,196.0,104.83,104.83,50.0,54.83,0,0
