tên hồ,Thời điểm,htl,dbt,hc,Qve,Tqx,Qxt,Qxm,Ncxs,Ncxm
Đồng Nai 4,20/05 23:00,475.22,476.0,474.0,197.68,209.14,2.5,206.64,0,0
Đơn Dương,20/05 23:00,1030.32,1042.0,1018.0,8.77,31.38,0.0,31.38,0,0
Đại Ninh,20/05 23:00,865.71,880.0,860.0,4.0,53.7,0.7,53.0,0,0
Hàm Thuận,20/05 23:00,581.49,605.0,575.0,19.59,136.88,0.0,136.88,0,0
Đa Mi,20/05 23:00,323.73,325.0,323.0,144.3,129.58,0.0,129.58,0,0
Pleikrông,21/05 23:00,553.32,570.0,537.0,56.0,286.0,0.0,286.0,0,0
Ialy,21/05 23:00,496.76,515.0,490.0,312.0,312.0,0.0,312.0,0,0
Sê San 3,21/05 23:00,303.34,304.5,303.2,317.0,345.0,0.0,345.0,0,0
Sê San 3A,21/05 23:00,238.87,239.0,238.5,489.0,489.0,0.0,489.0,0,0
Sê San 4,21/05 23:00,211.2,215.0,210.0,460.0,460.0,0.0,460.0,0,0
Kanak,21/05 23:00,498.95,515.0,485.0,7.56,37.4,0.0,37.4,0,0
An Khê,21/05 23:00,427.96,429.0,427.0,39.44,25.0,4.0,21.0,0,1
Srêpốk 3,21/05 23:00,267.94,272.0,268.0,23.0,133.68,0.68,133.0,2,0
Buôn Kuốp,21/05 23:00,408.99,412.0,409.0,90.0,125.0,0.0,125.0,0,0
Buôn Tua Srah,21/05 23:00,467.25,487.5,465.0,52.0,83.0,0.0,83.0,0,0
Đồng Nai 3,21/05 23:00,577.63,590.0,570.0,161.36,173.04,0.0,173.04,0,0
Đồng Nai 4,21/05 23:00,475.27,476.0,474.0,199.5,199.5,2.5,197.0,0,0
Đơn Dương,21/05 23:00,1030.56,1042.0,1018.0,60.3,31.39,0.0,31.39,0,0
Đại Ninh,21/05 23:00,865.84,880.0,860.0,62.0,52.7,0.7,52.0,0,0
Hàm Thuận,21/05 23:00,581.3,605.0,575.0,34.63,85.94,0.0,85.94,0,0
Đa Mi,21/05 23:00,323.81,325.0,323.0,88.06,80.0,0.0,80.0,0,0
Pleikrông,22/05 23:00,553.29,570.0,537.0,82.0,140.0,0.0,140.0,0,0
Ialy,22/05 23:00,496.39,515.0,490.0,174.0,312.0,0.0,312.0,0,0
Sê San 3,22/05 23:00,304.03,304.5,303.2,318.0,486.0,0.0,486.0,0,0
Sê San 3A,22/05 23:00,238.86,239.0,238.5,486.0,461.0,0.0,461.0,0,0
Sê San 4,22/05 23:00,211.06,215.0,210.0,377.0,230.0,0.0,230.0,0,0
Kanak,22/05 23:00,499.11,515.0,485.0,11.2,0.0,0.0,0.0,0,0
An Khê,22/05 23:00,428.01,429.0,427.0,39.02,16.02,4.0,12.02,0,1
Srêpốk 3,22/05 23:00,268.04,272.0,268.0,46.0,131.68,0.68,131.0,2,0
Buôn Kuốp,22/05 23:00,409.33,412.0,409.0,84.0,110.0,0.0,110.0,0,0
Buôn Tua Srah,22/05 23:00,467.25,487.5,465.0,83.0,83.0,0.0,83.0,0,0
Đồng Nai 3,22/05 23:00,577.64,590.0,570.0,137.99,173.04,0.0,173.04,0,0
Đồng Nai 4,22/05 23:00,475.23,476.0,474.0,162.61,196.98,2.5,194.48,0,0
Đơn Dương,22/05 23:00,1030.62,1042.0,1018.0,23.99,31.34,0.0,31.34,0,0
Đại Ninh,22/05 23:00,866.24,880.0,860.0,63.0,52.7,0.7,52.0,0,0
Hàm Thuận,22/05 23:00,581.3,605.0,575.0,46.54,123.51,0.0,123.51,0,0
Đa Mi,22/05 23:00,323.72,325.0,323.0,99.9,99.9,0.0,99.9,0,0
Pleikrông,23/05 23:00,553.12,570.0,537.0,58.0,288.0,0.0,288.0,0,0
Ialy,23/05 23:00,496.21,515.0,490.0,332.0,299.0,0.0,299.0,0,0
Sê San 3,23/05 23:00,303.59,304.5,303.2,304.0,156.0,0.0,156.0,0,0
Sê San 3A,23/05 23:00,238.95,239.0,238.5,264.0,428.0,0.0,428.0,0,0
Sê San 4,23/05 23:00,211.13,215.0,210.0,377.0,230.0,0.0,230.0,0,0
Kanak,23/05 23:00,499.23,515.0,485.0,4.01,0.0,0.0,0.0,0,0
An Khê,23/05 23:00,428.0,429.0,427.0,8.25,4.0,4.0,0.0,0,1
Srêpốk 3,23/05 23:00,268.02,272.0,268.0,132.0,131.68,0.68,131.0,2,0
Buôn Kuốp,23/05 23:00,409.74,412.0,409.0,70.0,108.0,0.0,108.0,0,0
Buôn Tua Srah,23/05 23:00,467.27,487.5,465.0,39.0,83.0,0.0,83.0,0,0
Đồng Nai 3,23/05 23:00,577.68,590.0,570.0,109.88,86.52,0.0,86.52,0,0
Đồng Nai 4,23/05 23:00,475.31,476.0,474.0,88.1,88.1,2.5,85.6,0,0
Đơn Dương,23/05 23:00,1030.81,1042.0,1018.0,25.82,19.81,0.0,19.81,0,0
Đại Ninh,23/05 23:00,866.44,880.0,860.0,32.0,28.7,0.7,28.0,0,0
Hàm Thuận,23/05 23:00,581.43,605.0,575.0,40.87,0.25,0.0,0.25,0,0
Đa Mi,23/05 23:00,323.74,325.0,323.0,49.72,45.0,0.0,45.0,0,0
Pleikrông,24/05 23:00,552.97,570.0,537.0,39.0,174.0,0.0,174.0,0,0
Ialy,24/05 23:00,495.87,515.0,490.0,204.0,233.0,0.0,233.0,0,0
Sê San 3,24/05 23:00,303.3,304.5,303.2,236.0,404.0,0.0,404.0,0,0
Sê San 3A,24/05 23:00,238.97,239.0,238.5,441.0,441.0,0.0,441.0,0,0
Sê San 4,24/05 23:00,211.22,215.0,210.0,607.0,460.0,0.0,460.0,0,0
Kanak,24/05 23:00,499.06,515.0,485.0,3.95,37.4,0.0,37.4,0,0
An Khê,24/05 23:00,428.0,429.0,427.0,34.59,7.52,4.0,3.52,0,1
Srêpốk 3,24/05 23:00,268.1,272.0,268.0,14.0,169.68,0.68,169.0,2,0
Buôn Kuốp,24/05 23:00,409.92,412.0,409.0,97.0,110.0,0.0,110.0,0,0
Buôn Tua Srah,24/05 23:00,467.34,487.5,465.0,56.0,83.0,0.0,83.0,0,0
Đồng Nai 3,24/05 23:00,577.82,590.0,570.0,184.44,172.76,0.0,172.76,0,0
Đồng Nai 4,24/05 23:00,475.32,476.0,474.0,185.64,128.35,2.5,125.85,0,0
Đơn Dương,24/05 23:00,1030.84,1042.0,1018.0,25.83,31.26,0.0,31.26,0,0
Đại Ninh,24/05 23:00,866.52,880.0,860.0,22.0,50.7,0.7,50.0,0,0
Hàm Thuận,24/05 23:00,581.51,605.0,575.0,52.99,52.99,0.0,52.99,0,0
Đa Mi,24/05 23:00,323.6,325.0,323.0,55.22,74.66,0.0,74.66,0,0
Pleikrông,25/05 23:00,552.9,570.0,537.0,54.0,54.0,0.0,54.0,0,0
Ialy,25/05 23:00,495.25,515.0,490.0,94.0,305.0,0.0,305.0,0,0
Sê San 3,25/05 23:00,303.75,304.5,303.2,310.0,486.0,0.0,486.0,0,0
Sê San 3A,25/05 23:00,238.98,239.0,238.5,487.0,520.0,0.0,520.0,0,0
Sê San 4,25/05 23:00,211.2,215.0,210.0,607.0,460.0,0.0,460.0,0,0
Kanak,25/05 23:00,498.95,515.0,485.0,6.25,0.0,0.0,0.0,0,0
An Khê,25/05 23:00,428.48,429.0,427.0,1.82,8.55,4.0,4.55,0,1
Srêpốk 3,25/05 23:00,268.18,272.0,268.0,6.0,169.68,0.68,169.0,2,0
Buôn Kuốp,25/05 23:00,410.29,412.0,409.0,105.0,105.0,0.0,105.0,0,0
Buôn Tua Srah,25/05 23:00,467.4,487.5,465.0,72.0,83.0,0.0,83.0,0,0
Đồng Nai 3,25/05 23:00,577.77,590.0,570.0,56.1,172.9,0.0,172.9,0,0
Đồng Nai 4,25/05 23:00,475.35,476.0,474.0,183.7,183.7,2.5,181.2,0,0
Đơn Dương,25/05 23:00,1030.7,1042.0,1018.0,14.18,8.16,0.0,8.16,0,0
Đại Ninh,25/05 23:00,866.63,880.0,860.0,34.0,25.7,0.7,25.0,0,0
Hàm Thuận,25/05 23:00,581.66,605.0,575.0,49.64,53.31,0.0,53.31,0,0
Đa Mi,25/05 23:00,323.22,325.0,323.0,56.73,80.9,0.0,80.9,0,0
Pleikrông,26/05 23:00,552.96,570.0,537.0,64.0,141.0,0.0,141.0,0,0
Ialy,26/05 23:00,494.63,515.0,490.0,198.0,306.0,0.0,306.0,0,0
Sê San 3,26/05 23:00,303.54,304.5,303.2,312.0,243.0,0.0,243.0,0,0
Sê San 3A,26/05 23:00,238.96,239.0,238.5,453.0,484.0,0.0,484.0,0,0
Sê San 4,26/05 23:00,211.35,215.0,210.0,524.0,230.0,0.0,230.0,0,0
Kanak,26/05 23:00,499.01,515.0,485.0,2.06,0.0,0.0,0.0,0,0
An Khê,26/05 23:00,428.41,429.0,427.0,2.06,4.0,4.0,0.0,0,1
Srêpốk 3,26/05 23:00,268.11,272.0,268.0,44.0,150.68,0.68,150.0,2,0
Buôn Kuốp,26/05 23:00,410.48,412.0,409.0,115.0,115.0,0.0,115.0,0,0
Buôn Tua Srah,26/05 23:00,467.56,487.5,465.0,82.0,82.0,0.0,82.0,0,0
Đồng Nai 3,26/05 23:00,577.71,590.0,570.0,164.41,141.05,0.0,141.05,0,0
Đồng Nai 4,26/05 23:00,475.44,476.0,474.0,154.97,154.97,2.5,152.47,0,0
Đơn Dương,26/05 23:00,1030.82,1042.0,1018.0,42.66,30.92,0.0,30.92,0,0
Đại Ninh,26/05 23:00,866.79,880.0,860.0,43.0,51.7,0.7,51.0,0,0
Hàm Thuận,26/05 23:00,581.64,605.0,575.0,56.07,85.39,0.0,85.39,0,0
Đa Mi,26/05 23:00,323.47,325.0,323.0,88.77,87.11,0.0,87.11,0,0
Pleikrông,27/05 23:00,552.68,570.0,537.0,79.0,290.0,0.0,290.0,0,0
Ialy,27/05 23:00,494.47,515.0,490.0,360.0,306.0,0.0,306.0,0,0
Sê San 3,27/05 23:00,303.43,304.5,303.2,313.0,370.0,0.0,370.0,0,0
Sê San 3A,27/05 23:00,238.94,239.0,238.5,490.0,490.0,0.0,490.0,0,0
Sê San 4,27/05 23:00,211.46,215.0,210.0,460.0,460.0,0.0,460.0,0,0
Kanak,27/05 23:00,498.95,515.0,485.0,2.83,37.4,0.0,37.4,0,0
An Khê,27/05 23:00,428.14,429.0,427.0,21.56,25.0,4.0,21.0,0,1
Srêpốk 3,27/05 23:00,268.29,272.0,268.0,20.0,170.68,0.68,170.0,2,0
Buôn Kuốp,27/05 23:00,409.98,412.0,409.0,105.0,251.0,0.0,251.0,0,0
Buôn Tua Srah,27/05 23:00,467.65,487.5,465.0,49.0,164.0,0.0,164.0,0,0
Đồng Nai 3,27/05 23:00,577.82,590.0,570.0,119.93,131.61,0.0,131.61,0,0
Đồng Nai 4,27/05 23:00,475.49,476.0,474.0,155.29,166.75,2.5,164.25,0,0
Đơn Dương,27/05 23:00,1030.95,1042.0,1018.0,25.91,31.34,0.0,31.34,0,0
Đại Ninh,27/05 23:00,866.88,880.0,860.0,27.0,53.7,0.7,53.0,0,0
Hàm Thuận,27/05 23:00,581.66,605.0,575.0,71.91,97.57,0.0,97.57,0,0
Đa Mi,27/05 23:00,323.76,325.0,323.0,99.23,91.18,0.0,91.18,0,0
Pleikrông,28/05 23:00,552.4,570.0,537.0,53.0,294.0,0.0,294.0,0,0
Ialy,28/05 23:00,494.24,515.0,490.0,355.0,409.0,0.0,409.0,0,0
Sê San 3,28/05 23:00,303.75,304.5,303.2,414.0,486.0,0.0,486.0,0,0
Sê San 3A,28/05 23:00,238.92,239.0,238.5,486.0,486.0,0.0,486.0,0,0
Sê San 4,28/05 23:00,211.47,215.0,210.0,534.0,460.0,0.0,460.0,0,0
Kanak,28/05 23:00,498.78,515.0,485.0,3.32,37.4,0.0,37.4,0,0
An Khê,28/05 23:00,428.2,429.0,427.0,1.85,48.46,4.0,44.46,0,1
Srêpốk 3,28/05 23:00,268.39,272.0,268.0,43.0,190.69,0.69,190.0,2,0
Buôn Kuốp,28/05 23:00,410.04,412.0,409.0,85.0,152.0,0.0,152.0,0,0
Buôn Tua Srah,28/05 23:00,467.7,487.5,465.0,45.0,82.0,0.0,82.0,0,0
Đồng Nai 3,28/05 23:00,577.8,590.0,570.0,134.63,193.04,0.0,193.04,0,0
Đồng Nai 4,28/05 23:00,475.41,476.0,474.0,204.6,204.6,2.5,202.1,0,0
Đơn Dương,28/05 23:00,1030.9,1042.0,1018.0,18.02,31.09,0.0,31.09,0,0
Đại Ninh,28/05 23:00,866.88,880.0,860.0,21.0,52.7,0.7,52.0,0,0
Hàm Thuận,28/05 23:00,581.78,605.0,575.0,74.84,133.48,0.0,133.48,0,0
Đa Mi,28/05 23:00,323.87,325.0,323.0,133.85,125.79,0.0,125.79,0,0
Pleikrông,29/05 23:00,552.22,570.0,537.0,55.0,296.0,0.0,296.0,0,0
Ialy,29/05 23:00,493.77,515.0,490.0,332.0,411.0,0.0,411.0,0,0
Sê San 3,29/05 23:00,303.8,304.5,303.2,416.0,486.0,0.0,486.0,0,0
Sê San 3A,29/05 23:00,238.94,239.0,238.5,493.0,557.0,0.0,557.0,0,0
Sê San 4,29/05 23:00,211.56,215.0,210.0,524.0,230.0,0.0,230.0,0,0
Kanak,29/05 23:00,498.76,515.0,485.0,2.75,37.4,0.0,37.4,0,0
An Khê,29/05 23:00,428.09,429.0,427.0,2.94,46.0,4.0,42.0,0,1
Srêpốk 3,29/05 23:00,268.29,272.0,268.0,223.0,386.69,0.69,386.0,2,0
Buôn Kuốp,29/05 23:00,409.48,412.0,409.0,84.0,276.0,0.0,276.0,0,0
Buôn Tua Srah,29/05 23:00,467.64,487.5,465.0,26.0,170.0,0.0,170.0,0,0
Đồng Nai 3,29/05 23:00,577.75,590.0,570.0,125.17,195.26,0.0,195.26,0,0
Đồng Nai 4,29/05 23:00,475.4,476.0,474.0,205.0,205.0,2.5,202.5,0,0
Đơn Dương,29/05 23:00,1030.88,1042.0,1018.0,29.79,31.41,0.0,31.41,0,0
Đại Ninh,29/05 23:00,866.82,880.0,860.0,16.0,53.7,0.7,53.0,0,0
Hàm Thuận,29/05 23:00,581.84,605.0,575.0,71.4,137.37,0.0,137.37,0,0
Đa Mi,29/05 23:00,323.84,325.0,323.0,138.23,128.51,0.0,128.51,0,0
Pleikrông,30/05 23:00,552.01,570.0,537.0,45.0,227.0,0.0,227.0,0,0
Ialy,30/05 23:00,493.56,515.0,490.0,259.0,128.0,0.0,128.0,0,0
Sê San 3,30/05 23:00,303.66,304.5,303.2,132.0,82.0,0.0,82.0,0,0
Sê San 3A,30/05 23:00,238.95,239.0,238.5,243.0,486.0,0.0,486.0,0,0
Sê San 4,30/05 23:00,211.69,215.0,210.0,671.0,230.0,0.0,230.0,0,0
Kanak,30/05 23:00,498.67,515.0,485.0,3.26,37.4,0.0,37.4,0,0
An Khê,30/05 23:00,427.81,429.0,427.0,1.48,44.5,4.0,40.5,0,1
Srêpốk 3,30/05 23:00,268.17,272.0,268.0,134.0,190.69,0.69,190.0,2,0
Buôn Kuốp,30/05 23:00,409.46,412.0,409.0,76.0,242.0,0.0,242.0,0,0
Buôn Tua Srah,30/05 23:00,467.52,487.5,465.0,40.0,85.0,0.0,85.0,0,0
Đồng Nai 3,30/05 23:00,577.68,590.0,570.0,90.28,195.42,0.0,195.42,0,0
Đồng Nai 4,30/05 23:00,475.45,476.0,474.0,204.0,204.5,2.5,202.0,0,0
Đơn Dương,30/05 23:00,1031.0,1042.0,1018.0,33.61,31.41,0.0,31.41,0,0
Đại Ninh,30/05 23:00,866.79,880.0,860.0,13.0,54.7,0.7,54.0,0,0
Hàm Thuận,30/05 23:00,582.02,605.0,575.0,63.82,133.49,0.0,133.49,0,0
Đa Mi,30/05 23:00,323.82,325.0,323.0,133.82,122.43,0.0,122.43,0,0
Pleikrông,31/05 23:00,551.19,570.0,537.0,28.0,304.0,0.0,304.0,0,0
Ialy,31/05 23:00,494.1,515.0,490.0,341.0,315.0,0.0,315.0,0,0
Sê San 3,31/05 23:00,303.82,304.5,303.2,318.0,486.0,0.0,486.0,0,0
Sê San 3A,31/05 23:00,238.83,239.0,238.5,486.0,384.0,0.0,384.0,0,0
Sê San 4,31/05 23:00,211.62,215.0,210.0,320.0,320.0,0.0,320.0,0,0
Kanak,31/05 23:00,498.41,515.0,485.0,2.13,38.0,0.0,38.0,0,0
An Khê,31/05 23:00,427.93,429.0,427.0,18.04,47.5,4.0,43.5,0,1
Srêpốk 3,31/05 23:00,268.15,272.0,268.0,220.0,383.69,0.69,383.0,2,0
Buôn Kuốp,31/05 23:00,408.75,412.0,409.0,108.0,213.0,0.0,213.0,0,0
Buôn Tua Srah,31/05 23:00,467.46,487.5,465.0,38.0,0.0,0.0,0.0,0,0
Đồng Nai 3,31/05 23:00,577.61,590.0,570.0,116.69,186.78,0.0,186.78,0,0
Đồng Nai 4,31/05 23:00,475.51,476.0,474.0,205.32,205.32,2.5,202.82,0,0
Đơn Dương,31/05 23:00,1031.14,1042.0,1018.0,39.58,31.42,0.0,31.42,0,0
Đại Ninh,31/05 23:00,866.77,880.0,860.0,19.0,53.7,0.7,53.0,0,0
Hàm Thuận,31/05 23:00,581.97,605.0,575.0,49.29,137.25,0.0,137.25,0,0
Đa Mi,31/05 23:00,323.51,325.0,323.0,137.25,127.94,0.0,127.94,0,0
Pleikrông,01/06 23:00,550.46,570.0,537.0,23.0,310.0,0.0,310.0,0,0
Ialy,01/06 23:00,494.79,515.0,490.0,347.0,320.0,0.0,320.0,0,0
Sê San 3,01/06 23:00,304.4,304.5,303.2,323.0,486.0,0.0,486.0,0,0
Sê San 3A,01/06 23:00,239.0,239.0,238.5,487.0,282.0,0.0,282.0,0,0
Sê San 4,01/06 23:00,211.43,215.0,210.0,13.0,160.0,0.0,160.0,0,0
Kanak,01/06 23:00,498.17,515.0,485.0,3.16,38.0,0.0,38.0,0,0
An Khê,01/06 23:00,427.69,429.0,427.0,30.12,46.7,4.0,42.7,0,1
Srêpốk 3,01/06 23:00,267.87,272.0,268.0,5.0,169.0,0.0,169.0,0,0
Buôn Kuốp,01/06 23:00,408.98,412.0,409.0,49.0,120.0,0.0,120.0,0,0
Buôn Tua Srah,01/06 23:00,467.51,487.5,465.0,23.0,120.0,0.0,120.0,0,0
Đồng Nai 3,01/06 23:00,577.48,590.0,570.0,125.49,195.58,0.0,195.58,0,0
Đồng Nai 4,01/06 23:00,475.51,476.0,474.0,187.29,198.75,2.5,196.25,0,0
Đơn Dương,01/06 23:00,1031.26,1042.0,1018.0,31.63,31.34,0.0,31.34,0,0
Đại Ninh,01/06 23:00,866.69,880.0,860.0,15.0,53.7,0.7,53.0,0,0
Hàm Thuận,01/06 23:00,581.8,605.0,575.0,67.81,130.12,0.0,130.12,0,0
Đa Mi,01/06 23:00,323.22,325.0,323.0,130.9,122.84,0.0,122.84,0,0
Pleikrông,02/06 23:00,549.82,570.0,537.0,15.0,304.0,0.0,304.0,0,0
Ialy,02/06 23:00,495.44,515.0,490.0,328.0,187.0,0.0,187.0,0,0
Sê San 3,02/06 23:00,304.0,304.5,303.2,189.0,250.0,0.0,250.0,0,0
Sê San 3A,02/06 23:00,239.0,239.0,238.5,228.0,228.0,0.0,228.0,0,0
Sê San 4,02/06 23:00,211.31,215.0,210.0,307.0,160.0,0.0,160.0,0,0
Kanak,02/06 23:00,497.79,515.0,485.0,2.25,38.0,0.0,38.0,0,0
An Khê,02/06 23:00,427.99,429.0,427.0,39.42,47.5,4.0,43.5,0,1
Srêpốk 3,02/06 23:00,267.77,272.0,268.0,6.0,159.0,0.0,159.0,0,0
Buôn Kuốp,02/06 23:00,409.06,412.0,409.0,69.0,120.0,0.0,120.0,0,0
Buôn Tua Srah,02/06 23:00,467.48,487.5,465.0,33.0,60.0,0.0,60.0,0,0
Đồng Nai 3,02/06 23:00,577.38,590.0,570.0,120.3,190.4,0.0,190.4,0,0
Đồng Nai 4,02/06 23:00,475.57,476.0,474.0,201.08,201.08,2.5,198.58,0,0
Đơn Dương,02/06 23:00,1031.37,1042.0,1018.0,45.47,31.41,0.0,31.41,0,0
Đại Ninh,02/06 23:00,866.68,880.0,860.0,33.0,52.7,0.7,52.0,0,0
Hàm Thuận,02/06 23:00,581.66,605.0,575.0,56.35,133.32,0.0,133.32,0,0
Đa Mi,02/06 23:00,323.35,325.0,323.0,133.32,124.51,0.0,124.51,0,0
Pleikrông,03/06 23:00,549.24,570.0,537.0,20.0,306.0,0.0,306.0,0,0
Ialy,03/06 23:00,495.72,515.0,490.0,333.0,333.0,0.0,333.0,0,0
Sê San 3,03/06 23:00,304.35,304.5,303.2,335.0,361.0,0.0,361.0,0,0
Sê San 3A,03/06 23:00,238.97,239.0,238.5,389.0,399.0,0.0,399.0,0,0
Sê San 4,03/06 23:00,211.16,215.0,210.0,524.0,230.0,0.0,230.0,0,0
Kanak,03/06 23:00,497.41,515.0,485.0,2.38,38.0,0.0,38.0,0,0
An Khê,03/06 23:00,428.16,429.0,427.0,39.55,49.0,4.0,45.0,0,1
Srêpốk 3,03/06 23:00,267.8,272.0,268.0,4.0,295.0,0.0,295.0,0,0
Buôn Kuốp,03/06 23:00,408.71,412.0,409.0,104.0,222.0,0.0,222.0,0,0
Buôn Tua Srah,03/06 23:00,467.35,487.5,465.0,26.0,155.0,0.0,155.0,0,0
Đồng Nai 3,03/06 23:00,577.27,590.0,570.0,125.81,195.9,0.0,195.9,0,0
Đồng Nai 4,03/06 23:00,475.58,476.0,474.0,204.0,204.0,2.5,201.5,0,0
Đơn Dương,03/06 23:00,1031.7,1042.0,1018.0,51.3,31.34,0.0,31.34,0,0
Đại Ninh,03/06 23:00,866.65,880.0,860.0,12.0,35.7,0.7,35.0,0,0
Hàm Thuận,03/06 23:00,581.42,605.0,575.0,59.51,136.48,0.0,136.48,0,0
Đa Mi,03/06 23:00,323.53,325.0,323.0,136.49,129.79,0.0,129.79,0,0
Pleikrông,04/06 23:00,548.68,570.0,537.0,20.0,229.0,0.0,229.0,0,0
Ialy,04/06 23:00,496.04,515.0,490.0,269.0,334.0,0.0,334.0,0,0
Sê San 3,04/06 23:00,303.74,304.5,303.2,337.0,360.0,0.0,360.0,0,0
Sê San 3A,04/06 23:00,238.87,239.0,238.5,462.0,231.0,0.0,231.0,0,0
Sê San 4,04/06 23:00,211.16,215.0,210.0,173.0,320.0,0.0,320.0,0,0
Kanak,04/06 23:00,497.1,515.0,485.0,2.18,39.2,0.0,39.2,0,0
An Khê,04/06 23:00,428.02,429.0,427.0,40.36,47.65,4.0,43.65,0,1
Srêpốk 3,04/06 23:00,267.82,272.0,268.0,48.0,133.0,0.0,133.0,0,0
Buôn Kuốp,04/06 23:00,409.55,412.0,409.0,85.0,111.0,0.0,111.0,0,0
Buôn Tua Srah,04/06 23:00,467.31,487.5,465.0,52.0,83.0,0.0,83.0,0,0
Đồng Nai 3,04/06 23:00,577.15,590.0,570.0,126.11,196.2,0.0,196.2,0,0
Đồng Nai 4,04/06 23:00,475.65,476.0,474.0,204.04,204.04,2.5,201.54,0,0
Đơn Dương,04/06 23:00,1031.82,1042.0,1018.0,21.82,31.36,0.0,31.36,0,0
Đại Ninh,04/06 23:00,866.63,880.0,860.0,17.0,45.7,0.7,45.0,0,0
Hàm Thuận,04/06 23:00,581.18,605.0,575.0,63.18,136.48,0.0,136.48,0,0
Đa Mi,04/06 23:00,323.68,325.0,323.0,136.8,122.35,0.0,122.35,0,0
Pleikrông,05/06 23:00,548.57,570.0,537.0,22.0,308.0,0.0,308.0,0,0
Ialy,05/06 23:00,495.84,515.0,490.0,337.0,366.0,0.0,366.0,0,0
Sê San 3,05/06 23:00,304.0,304.5,303.2,368.0,486.0,0.0,486.0,0,0
Sê San 3A,05/06 23:00,238.93,239.0,238.5,480.0,480.0,0.0,480.0,0,0
Sê San 4,05/06 23:00,211.07,215.0,210.0,377.0,230.0,0.0,230.0,0,0
Kanak,05/06 23:00,496.74,515.0,485.0,1.92,39.2,0.0,39.2,0,0
An Khê,05/06 23:00,428.23,429.0,427.0,40.98,4.0,4.0,0.0,0,1
Srêpốk 3,05/06 23:00,267.82,272.0,268.0,23.0,162.0,0.0,162.0,0,0
Buôn Kuốp,05/06 23:00,409.89,412.0,409.0,77.0,128.0,0.0,128.0,0,0
Buôn Tua Srah,05/06 23:00,467.28,487.5,465.0,53.0,63.0,0.0,63.0,0,0
Đồng Nai 3,05/06 23:00,576.99,590.0,570.0,114.74,196.52,0.0,196.52,0,0
Đồng Nai 4,05/06 23:00,475.67,476.0,474.0,204.04,204.04,2.5,201.54,0,0
Đơn Dương,05/06 23:00,1031.82,1042.0,1018.0,23.78,31.35,0.0,31.35,0,0
Đại Ninh,05/06 23:00,866.54,880.0,860.0,10.0,39.7,0.7,39.0,0,0
Hàm Thuận,05/06 23:00,581.07,605.0,575.0,38.09,107.73,0.0,107.73,0,0
Đa Mi,05/06 23:00,323.63,325.0,323.0,107.73,107.6,0.0,107.6,0,0
Pleikrông,06/06 23:00,548.46,570.0,537.0,24.0,146.0,0.0,146.0,0,0
Ialy,06/06 23:00,495.35,515.0,490.0,175.0,365.0,0.0,365.0,0,0
Sê San 3,06/06 23:00,304.25,304.5,303.2,368.0,436.0,0.0,436.0,0,0
Sê San 3A,06/06 23:00,238.86,239.0,238.5,486.0,486.0,0.0,486.0,0,0
Sê San 4,06/06 23:00,210.96,215.0,210.0,524.0,230.0,0.0,230.0,0,0
Kanak,06/06 23:00,496.59,515.0,485.0,1.74,0.0,0.0,0.0,0,0
An Khê,06/06 23:00,428.5,429.0,427.0,41.07,4.0,4.0,0.0,0,1
Srêpốk 3,06/06 23:00,267.77,272.0,268.0,169.0,187.0,0.0,187.0,0,0
Buôn Kuốp,06/06 23:00,410.06,412.0,409.0,52.0,146.0,0.0,146.0,0,0
Buôn Tua Srah,06/06 23:00,467.27,487.5,465.0,10.0,160.0,0.0,160.0,0,0
Đồng Nai 3,06/06 23:00,576.84,590.0,570.0,91.54,196.68,0.0,196.68,0,0
Đồng Nai 4,06/06 23:00,475.67,476.0,474.0,202.76,202.76,2.5,200.26,0,0
Đơn Dương,06/06 23:00,1031.8,1042.0,1018.0,15.87,31.31,0.0,31.31,0,0
Đại Ninh,06/06 23:00,866.47,880.0,860.0,7.0,45.7,0.7,45.0,0,0
Hàm Thuận,06/06 23:00,581.09,605.0,575.0,38.19,129.82,0.0,129.82,0,0
Đa Mi,06/06 23:00,323.61,325.0,323.0,129.85,89.95,0.0,89.95,0,0
Pleikrông,07/06 23:00,548.09,570.0,537.0,17.0,296.0,0.0,296.0,0,0
Ialy,07/06 23:00,495.35,515.0,490.0,340.0,312.0,0.0,312.0,0,0
Sê San 3,07/06 23:00,303.68,304.5,303.2,315.0,446.0,0.0,446.0,0,0
Sê San 3A,07/06 23:00,238.96,239.0,238.5,447.0,444.0,0.0,444.0,0,0
Sê San 4,07/06 23:00,211.01,215.0,210.0,601.0,160.0,0.0,160.0,0,0
Kanak,07/06 23:00,496.39,515.0,485.0,1.34,36.2,0.0,36.2,0,0
An Khê,07/06 23:00,428.29,429.0,427.0,39.74,25.0,4.0,21.0,0,1
Srêpốk 3,07/06 23:00,268.03,272.0,268.0,25.0,131.0,0.0,131.0,0,0
Buôn Kuốp,07/06 23:00,410.39,412.0,409.0,69.0,109.0,0.0,109.0,0,0
Buôn Tua Srah,07/06 23:00,467.17,487.5,465.0,58.0,69.0,0.0,69.0,0,0
Đồng Nai 3,07/06 23:00,576.66,590.0,570.0,138.43,196.84,0.0,196.84,0,0
Đồng Nai 4,07/06 23:00,475.78,476.0,474.0,204.04,204.04,2.5,201.54,0,0
Đơn Dương,07/06 23:00,1031.75,1042.0,1018.0,13.92,31.33,0.0,31.33,0,0
